TRTID10,county,place_name,HOLC,CBD_Dist_ln,hicost_pre,D_suburb,goodpop,goodhu,EHLN,ZCBD_Dist_ln,decade,R_VAC,POP,HU,HU_ln,P_NONWHT,P_UNEMP,P_MANUF,P_RENT,P_A60UP,P_VAC,a_mhmval,a_mrent,a_hinc,HU_CHNG,ZR_VAC,ZPOP,ZHU,ZHU_ln,ZP_NONWHT,ZP_UNEMP,ZP_MANUF,ZP_RENT,ZP_A60UP,ZP_VAC,Za_mhmval,Za_mrent,Za_hinc,ZHU_CHNG,D_1970,D_1980,D_1990,D_2000,majmin,PredictedValue,PearsonResidual
39035101101,Cuyahoga County,Cleveland city,6,8.50856518028608,.420453282527586,0,1,1,0,-1.49503175238356,1970,36,1436.269749,634.7391968,6.45362499889269,.0119371998274956,.0350164927588639,.270049962452585,.700186801030222,.207862974491987,.0569583089279291,11.1281176014985,.0618012011762436,4.36459749952725,0,-.144033365308359,-1.27838914900705,-.897656161093279,-.743615242516403,-.413496398389465,.0263657173184783,-.924732090945656,1.62409162329308,1.36729032099354,.699664778072145,-.302007428992431,-.0549353179272358,-.80383850592672, ,1,0,0,0,0,22.2687508553674,1.01397440611729
39035101101,Cuyahoga County,Cleveland city,6,8.50856518028608,.420453282527586,0,1,1,0,-1.49503175238356,1980,79,6592.22917154664,2485.08023114502,7.81802793853073,.0358012675511867,.0426336329141786,.135232881665513,.34413821523207,.221175941826035,.0317904172134515,13.8360335305028,.0846330546667906,5.59406043731596,1850,-.162281486883724,.872868258144719,.398238075486825,.588283411517762,-.975039337242794,-.674901938330878,-.52605846003931,-.79102869202827,.546626306433252,-.36619474604585,-.258085611417576,.742640335964451,.451997090793002,.73735126724493,0,1,0,0,0,70.5699180100569,.149831718220357
39035101101,Cuyahoga County,Cleveland city,6,8.50856518028608,.420453282527586,0,1,1,0,-1.49503175238356,1990,243,3933.96748995085,1894.43655538559,7.54644627374602,.75972509753455,.143889474293448,.201839193439025,.424048235702354,.275353435053937,.128302663877247,6.3239371436999,.0270802848427849,2.07079446402153,-591,.265672970291925,.0830938172134812,.394312338499146,.482622069360583,2.98011785337258,1.60656964441998,.253516599264928,.662943834377699,1.24173468192474,.255284428549347,-.615338697233152,-.943668731950452,-1.24307785726416,-.190943304293257,0,0,1,0,1,232.386469833322,.0819975304246515
39035101101,Cuyahoga County,Cleveland city,6,8.50856518028608,.420453282527586,0,1,1,0,-1.49503175238356,2000,257,3731.96507620811,1793.98315429688,7.49220304261874,.752947475333889,.125503350137329,.164236382143912,.460637594228123,.199624869681027,.143255296737752,7.82603769392965,.032751601263451,2.71237215767549,-100,.221262988525029,-.268105670842433,-.0371484364432891,.149085951688698,2.43069954888712,1.2697940766467,.274161187819134,.827603069118144,.286987650259233,.46885366484435,-.509192535382335,-.775803283400959,-1.01145064047732,-.715532447309922,0,0,0,1,1,212.808361910902,.352689656993367
39035101101,Cuyahoga County,Cleveland city,6,8.50856518028608,.420453282527586,0,1,1,0,-1.49503175238356,2010,86,1113,488,6.19031540585315,.610961365678347,.185855263157895,.171717171717172,.420398009950249,.217293233082707,.176229508196721,5.45,.0318,2.3548,-1306,-.453188641034482,-1.86469628527163,-1.77451604710533,-2.65405016731444,1.39361619977807,1.68363055836325,.498799376293715,.622940517332918,.411530373767368,.67944973694445,-1.04685878258104,-.756616446140806,-1.08704784959938,-1.34019917230707,0,0,0,0,1,71.6716057117276,.388691306393561
39035101102,Cuyahoga County,Cleveland city,4,8.62950001855493,.161936348171807,0,1,1,0,-1.33794577998971,1970,158,6270.730343,2771.260986,7.92696354486298,.011937199960059,.0350164914703492,.270049954429297,.700186817778226,.207862990067025,.0569583050811224,11.1281180810655,.0618012024174757,4.36459757682216,0,1.76108270271939,1.50880263043122,2.59430884062388,1.5965484976218,-.413496397908173,.0263656582966987,-.924732172294376,1.62409169663459,1.3672905948871,.699664656848165,-.302007322482092,-.0549352559551591,-.803838464351785, ,1,0,0,0,0,97.7641957551703,1.04887586046398
39035101102,Cuyahoga County,Cleveland city,4,8.62950001855493,.161936348171807,0,1,1,0,-1.33794577998971,1980,38,3341.74395928392,1355.56608963013,7.21229446850034,.0499917513572279,.0601373335631848,.136890529271546,.581743760819095,.236436477620064,.0280315660915668,14.7544166256839,.0793867822644685,5.15151999181413,-1415,-.476244369474031,-.359943389554222,-.368397525986885,-.0448858039227819,-.936247859889239,-.241123361428708,-.503334650197682,-.101421869974653,.747106699539175,-.424255496272289,-.190130247706202,.519699768578184,.24786693322538,-1.38257810495352,0,1,0,0,0,40.3807477850527,-.0731582264358565
39035101102,Cuyahoga County,Cleveland city,4,8.62950001855493,.161936348171807,0,1,1,0,-1.33794577998971,1990,240,2082.69000837431,1004.99254608154,6.91274282049318,.240428070750837,.0721131448589033,.0975253175181865,.378832324798957,.203145182159754,.238841549559543,9.92759922437463,.0513097729313804,4.27942078719076,-351,.253622516509546,-1.10726261459638,-.945797746227844,-.739205695810184,.532208634789756,.119478968966147,-1.07380574740247,.408243868214767,.208872455282665,1.41596306927002,-.00208657350525309,.21241914400055,-.15321726859935,-.0501075773411786,0,0,1,0,0,113.354027094446,1.99646577700151
39035101102,Cuyahoga County,Cleveland city,4,8.62950001855493,.161936348171807,0,1,1,0,-1.33794577998971,2000,189,2511.01749229431,1139.55407714844,7.03878354138854,.399681539106809,.0204081624054321,.142361106427808,.478443752170934,.206608276789139,.165789474107057,9.27348677714587,.0501700523624698,4.01973745159516,135,-.00408103346918672,-1.07091736394077,-.994551122121124,-.958920429966806,.946246316005637,-.700625961264239,-.0533301008686597,.923022681221137,.39574530632948,.715596255123294,-.265224026808317,.144410351057751,-.344416211605278,-.128919275956097,0,0,0,1,0,120.443562529307,.96310906014439
39035101102,Cuyahoga County,Cleveland city,4,8.62950001855493,.161936348171807,0,1,1,0,-1.33794577998971,2010,213,3030,1386,7.23417717974985,.68976897689769,.251724137931034,.125576036866359,.568627450980392,.228652263374486,.153679653679654,5.02,.0271,1.4595,246,-.0954910080140873,-.812935231224262,-.704578976091233,-.529097246601698,1.70995426495162,2.79039424459797,-.133832617132479,1.34153656630659,.585231955924498,.41425680698792,-1.11682682983975,-.968268584381597,-1.5460866515738,.0805798165465806,0,0,0,0,1,200.068043411683,.126843308612311
